AbNatiV VH Score,AbNatiV CDR1-VH Score,AbNatiV CDR2-VH Score,AbNatiV CDR3-VH Score,AbNatiV FR-VH Score
0.6544233958453066,0.5607335277703054,0.7190003971928027,0.5733176369506285,0.6718429234673463
0.8492871265944393,0.8575095846552578,0.816620453014256,0.8153806389684982,0.8570846509293146
0.6863990261089262,0.8257344246939542,0.7107252103096124,0.7277778902266476,0.6605520518130091
0.6328324770668492,0.4262726495318977,0.5593430680541113,0.5920988799459981,0.6694521553851989
0.6999067985526474,0.8089844251956902,0.6374893184563767,0.886002619741606,0.6759077343869502
0.6883627868245377,0.76604107076489,0.9545661419313188,0.5597103239480654,0.6672402589418123
0.6796675553935152,0.6121356505548043,0.7473389236978292,0.7487062262136108,0.6741412634665833
0.8386330681970083,0.9728685098242617,0.8669102387655678,0.8732558084265392,0.8167071577471852
0.8074135300038721,0.9761594193308206,0.6809969726346496,0.4496396451276897,0.8521388452504295
0.7338901014348534,0.7620247203153504,0.5756863674802166,0.6552119641350053,0.7547134890401863
0.6009015518753733,0.4047082018017762,0.6172950291843078,0.2570039434478517,0.6699803005746885
0.8009314779433756,0.7977944152056593,0.5800502672501409,0.6157594257483316,0.8592230205156238
0.640628575148261,0.877722161762984,0.4948728709781594,0.5690660825837185,0.6378518306115195
0.7164064322737664,0.945851631203348,0.7059488236654392,0.734835104017711,0.689746025143315
0.7184380799771016,0.910225325059626,0.7924672958205962,0.66922162534171,0.6962332293192024
0.8303245442692677,0.9946857799997998,0.7135312323001097,0.8748141961519579,0.8195079740216009
0.6864839468558361,0.900805351178156,0.7337070788234643,0.6150247876857111,0.6599027416632863
0.798745354214145,0.936883032727824,0.5315782160158988,0.4604200254182229,0.8626953904313142
0.6845517069879208,0.8980786795998101,0.6661576701854548,0.6786304612418297,0.6634235880714883
0.7282119896464768,0.7745178726929065,0.7522071932846057,0.7129592286917965,0.722141215664475
0.6858012774052038,0.8890214373555635,0.7748705718122326,0.5086777205566106,0.6790651983516713
