AbNatiV VKappa Score,AbNatiV CDR1-VKappa Score,AbNatiV CDR2-VKappa Score,AbNatiV CDR3-VKappa Score,AbNatiV FR-VKappa Score
-0.0576613336522267,-0.2916212354428553,-0.8600156457170869,-0.2553155579866542,0.0915765047419517
-0.1444284018834689,-0.4233924982497912,-0.8132870597557644,-0.6281969527183111,0.0345888907903699
-0.0960578898938127,-0.3855215020315345,-0.8302324526645424,-0.6430297420633697,0.1012199414619549
-0.1107023913747804,-0.420081399078887,-0.7981472896547697,-0.653628326138028,0.0824406657522976
-0.0792862261073066,-0.4020813596080554,-0.7811604248973523,-0.5366119419974811,0.1046436298674571
-0.10232180051373,-0.2532452012763593,-0.771945177295958,-0.509442049154335,0.0537801870967368
-0.0834029209937794,-0.3231939893126305,-0.876308480152965,-0.2200198104695208,0.0565870922160878
-0.1064195541901507,-0.3194402423783233,-0.7447512033708479,-0.5188612360916616,0.0514703959078605
0.2493339956732084,-0.1788041214978923,0.7291208378350074,-0.1505481526764445,0.320005583042517
-0.1062475452890812,-0.3392058569156868,-0.7490404796047863,-0.5802805777203071,0.0632330638359088
-0.0520529402375204,-0.1974331997354459,-1.030208021330978,-0.3292981447536744,0.1206512477836545
