v1,v2,v3,v4,v5,v6,v7
0.195,0.120,0.245,0.480,0.175,0.140,0.130
0.115,0.140,0.145,0.350,0.135,0.110,0.100
0.035,0.005,0.065,0.280,0.005,0.010,0.010
0.100,0.020,0.130,0.330,0.015,0.005,0.010
0.040,0.010,0.090,0.200,0.005,0.010,0.000
0.060,0.025,0.185,0.350,0.030,0.010,0.000
0.040,0.015,0.195,0.235,0.005,0.000,0.000
0.025,0.015,0.060,0.200,0.005,0.000,0.005
0.135,0.100,0.140,0.280,0.150,0.110,0.095
0.105,0.125,0.215,0.370,0.150,0.090,0.115
0.135,0.095,0.125,0.290,0.145,0.095,0.110
0.100,0.095,0.150,0.420,0.030,0.025,0.005
0.030,0.035,0.070,0.245,0.010,0.015,0.005
0.030,0.025,0.100,0.170,0.000,0.000,0.000
0.125,0.135,0.130,0.300,0.120,0.105,0.100
0.170,0.125,0.150,0.465,0.125,0.100,0.090
0.005,0.010,0.025,0.205,0.000,0.000,0.000
0.025,0.020,0.095,0.230,0.000,0.000,0.000
0.020,0.010,0.070,0.235,0.000,0.000,0.000
0.040,0.010,0.100,0.255,0.015,0.015,0.000
0.015,0.010,0.115,0.200,0.005,0.000,0.000
0.030,0.035,0.070,0.245,0.010,0.015,0.005
0.035,0.025,0.080,0.175,0.000,0.005,0.000
0.135,0.105,0.100,0.780,0.130,0.195,0.110
0.115,0.055,0.120,0.345,0.060,0.010,0.005
0.070,0.000,0.095,0.295,0.005,0.000,0.000
0.005,0.020,0.135,0.175,0.010,0.000,0.000
0.095,0.105,0.135,0.280,0.100,0.085,0.100
0.125,0.105,0.130,0.200,0.125,0.105,0.100
0.035,0.035,0.085,0.240,0.010,0.020,0.005
0.035,0.010,0.090,0.185,0.010,0.010,0.005
0.010,0.020,0.135,0.285,0.000,0.000,0.000
0.100,0.120,0.125,0.345,0.125,0.110,0.110
0.010,0.055,0.040,0.230,0.010,0.025,0.000
0.065,0.045,0.075,0.315,0.010,0.010,0.010
0.015,0.005,0.110,0.215,0.000,0.010,0.000
0.005,0.010,0.025,0.250,0.000,0.000,0.000
0.170,0.130,0.170,0.465,0.160,0.110,0.095
0.075,0.050,0.105,0.255,0.030,0.010,0.005
0.135,0.185,0.125,0.340,0.150,0.130,0.100
0.110,0.100,0.100,0.255,0.140,0.090,0.115
0.105,0.095,0.100,0.375,0.025,0.000,0.015
0.015,0.060,0.080,0.440,0.025,0.020,0.005
0.135,0.120,0.165,0.375,0.170,0.115,0.100
0.030,0.090,0.120,0.375,0.005,0.095,0.005
0.070,0.060,0.105,0.335,0.025,0.020,0.015
0.040,0.010,0.135,0.230,0.005,0.000,0.000
0.050,0.040,0.125,0.290,0.025,0.020,0.015
0.030,0.035,0.070,0.245,0.010,0.015,0.005
0.020,0.010,0.075,0.200,0.005,0.005,0.010
0.120,0.110,0.130,0.265,0.120,0.105,0.100
0.035,0.025,0.120,0.405,0.000,0.000,0.005
0.050,0.000,0.155,0.275,0.005,0.000,0.010
0.010,0.035,0.030,0.230,0.005,0.015,0.000
0.015,0.005,0.050,0.320,0.020,0.020,0.000
0.015,0.015,0.060,0.175,0.005,0.000,0.005
0.005,0.010,0.020,0.200,0.000,0.000,0.000
0.020,0.020,0.105,0.120,0.000,0.000,0.000
0.030,0.035,0.070,0.245,0.010,0.015,0.005
0.145,0.130,0.100,0.805,0.120,0.205,0.100
0.030,0.035,0.070,0.245,0.010,0.015,0.005
