v1,v2,v3,v4,v5,v6,v7
0.130,0.135,0.750,0.040,0.005,0.030,0.150,0.075,0.005
0.195,0.195,0.100,0.800,0.120,0.050,0.145,0.095,0.005
0.130,0.155,0.845,0.040,0.005,0.025,0.165,0.095,0.010
0.155,0.145,0.780,0.025,0.010,0.015,0.035,0.070,0.005
0.140,0.105,0.940,0.020,0.005,0.045,0.025,0.030,0.005
0.875,0.005,0.115,0.020,0.015,0.010
0.195,0.195,0.100,0.800,0.120,0.050,0.145,0.095,0.005
0.110,0.180,0.825,0.020,0.005,0.040,0.040,0.060,0.015
0.195,0.195,0.100,0.800,0.120,0.050,0.145,0.095,0.005
0.095,0.040,0.920,0.025,0.005,0.010,0.025,0.015,0.000
0.145,0.135,0.765,0.040,0.005,0.040,0.150,0.075,0.005
0.190,0.200,0.110,0.800,0.115,0.050,0.115,0.095,0.005
0.235,0.215,1.000,0.000,0.005,0.050,0.035,0.035,0.010
0.145,0.110,0.980,0.000,0.000,0.020,0.060,0.005,0.000
0.195,0.195,0.100,0.800,0.120,0.050,0.145,0.095,0.005
0.195,0.195,0.100,0.800,0.120,0.050,0.145,0.095,0.005
0.085,0.155,0.800,0.025,0.010,0.030,0.035,0.045,0.010
0.795,0.540,0.055,0.000,0.000,0.015,0.060,0.005,0.100
0.195,0.195,0.100,0.800,0.120,0.050,0.145,0.095,0.005
0.115,0.075,0.660,0.025,0.005,0.020,0.055,0.010,0.000
0.100,0.140,0.825,0.040,0.005,0.030,0.150,0.100,0.005
0.115,0.050,0.035,0.015,0.680,0.020,0.075,0.095,0.010
0.240,0.215,1.000,0.000,0.005,0.045,0.030,0.035,0.010
0.105,0.045,0.910,0.025,0.005,0.015,0.020,0.015,0.000
0.210,0.205,0.105,0.840,0.165,0.050,0.200,0.110,0.010
0.215,0.205,0.115,0.820,0.135,0.050,0.120,0.110,0.015
0.195,0.195,0.100,0.800,0.120,0.050,0.145,0.095,0.005
0.140,0.105,0.750,0.025,0.010,0.010,0.030,0.030,0.015
0.125,0.170,0.735,0.030,0.005,0.030,0.155,0.075,0.025
0.195,0.195,0.100,0.800,0.120,0.050,0.145,0.095,0.005
0.205,0.190,0.100,0.785,0.105,0.050,0.165,0.095,0.005
0.170,0.130,0.715,0.025,0.010,0.000,0.035,0.025,0.010
0.900,0.860,0.215,0.050,0.000,0.190,0.070,0.105,0.115
0.195,0.195,0.100,0.800,0.120,0.050,0.145,0.095,0.005
0.195,0.195,0.100,0.800,0.120,0.050,0.145,0.095,0.005
0.195,0.195,0.100,0.800,0.120,0.050,0.145,0.095,0.005
0.210,0.195,0.095,0.800,0.120,0.060,0.145,0.095,0.005
0.100,0.135,0.780,0.030,0.005,0.030,0.100,0.110,0.000
0.025,0.040,0.020,0.015,0.000,0.000,0.335,0.095,0.000
0.190,0.200,0.110,0.800,0.115,0.050,0.115,0.095,0.005
0.195,0.195,0.100,0.800,0.120,0.050,0.145,0.095,0.005
0.195,0.195,0.100,0.800,0.120,0.050,0.145,0.095,0.005
0.035,0.050,0.025,0.020,0.000,0.010,0.275,0.235,0.005
0.025,0.045,0.020,0.015,0.000,0.005,0.340,0.105,0.000
0.195,0.195,0.100,0.800,0.120,0.050,0.145,0.095,0.005
0.195,0.195,0.100,0.800,0.120,0.050,0.145,0.095,0.005
0.835,0.660,0.135,0.000,0.000,0.070,0.125,0.085,0.165
0.100,0.045,0.030,0.010,0.590,0.020,0.075,0.085,0.005
0.195,0.195,0.100,0.800,0.120,0.050,0.145,0.095,0.005
0.210,0.245,0.180,0.795,0.175,0.105,0.165,0.095,0.020
0.135,0.115,0.735,0.030,0.010,0.015,0.040,0.060,0.005
0.110,0.145,0.820,0.040,0.005,0.030,0.140,0.080,0.005
0.110,0.105,0.710,0.155,0.100,0.020,0.070,0.055,0.010
0.195,0.195,0.100,0.800,0.120,0.050,0.145,0.095,0.005
0.135,0.120,0.735,0.025,0.010,0.020,0.035,0.055,0.005
0.110,0.135,0.795,0.025,0.005,0.030,0.045,0.045,0.005
0.195,0.195,0.100,0.800,0.120,0.050,0.145,0.095,0.005
0.125,0.155,0.800,0.030,0.005,0.090,0.020,0.075,0.010
0.220,0.155,0.985,0.000,0.000,0.010,0.010,0.030,0.025
0.045,0.055,0.020,0.015,0.000,0.000,0.335,0.110,0.000
0.195,0.195,0.100,0.800,0.120,0.050,0.145,0.095,0.005
0.195,0.195,0.100,0.800,0.120,0.050,0.145,0.095,0.005
0.045,0.065,0.020,0.015,0.000,0.005,0.340,0.125,0.000
0.175,0.110,0.990,0.005,0.010,0.035,0.035,0.010,0.025
0.190,0.200,0.110,0.800,0.115,0.050,0.115,0.095,0.005
0.270,0.230,1.000,0.000,0.005,0.055,0.040,0.040,0.020
