v1,v2,v3,v4,v5,v6,v7
0.005,0.020,0.055,0.450,0.000,0.020,0.000
0.005,0.020,0.020,0.365,0.000,0.020,0.005
0.000,0.065,0.020,0.470,0.005,0.030,0.000
0.065,0.065,0.815,0.060,0.115,0.100,0.110
0.000,0.000,0.790,0.000,0.000,0.000,0.000
0.005,0.020,0.050,0.445,0.000,0.025,0.000
0.000,0.000,0.815,0.000,0.000,0.000,0.000
0.000,0.000,0.880,0.005,0.000,0.000,0.000
0.000,0.000,0.780,0.000,0.000,0.000,0.000
0.010,0.055,0.030,0.550,0.000,0.025,0.000
0.000,0.000,0.820,0.000,0.000,0.000,0.000
0.025,0.025,0.010,0.470,0.005,0.000,0.010
0.005,0.000,0.870,0.000,0.000,0.000,0.005
0.095,0.020,0.120,0.310,0.015,0.010,0.010
0.035,0.010,0.045,0.410,0.000,0.015,0.000
0.110,0.110,0.115,0.455,0.125,0.105,0.100
0.025,0.005,0.040,0.490,0.005,0.005,0.005
0.040,0.000,0.845,0.000,0.000,0.000,0.025
0.000,0.020,0.015,0.400,0.005,0.020,0.005
0.030,0.040,0.020,0.485,0.010,0.010,0.010
0.020,0.000,0.025,0.335,0.005,0.000,0.000
0.025,0.000,0.050,0.340,0.005,0.000,0.000
0.005,0.000,0.910,0.000,0.000,0.000,0.000
0.000,0.000,0.875,0.005,0.000,0.000,0.000
0.000,0.000,0.875,0.005,0.000,0.000,0.005
0.000,0.000,0.870,0.000,0.000,0.000,0.005
0.005,0.035,0.025,0.450,0.000,0.030,0.000
0.000,0.000,0.885,0.000,0.000,0.000,0.000
0.025,0.035,0.030,0.450,0.005,0.005,0.010
0.000,0.000,0.800,0.000,0.000,0.000,0.000
0.010,0.005,0.030,0.285,0.000,0.000,0.000
0.005,0.005,0.035,0.590,0.000,0.015,0.000
0.000,0.000,0.850,0.000,0.000,0.000,0.005
0.030,0.045,0.020,0.495,0.010,0.010,0.010
0.000,0.000,0.855,0.010,0.005,0.000,0.000
0.015,0.010,0.025,0.330,0.010,0.005,0.000
0.000,0.065,0.020,0.435,0.005,0.035,0.015
0.045,0.000,0.835,0.005,0.000,0.000,0.015
0.025,0.015,0.025,0.450,0.010,0.005,0.000
0.005,0.020,0.015,0.400,0.000,0.015,0.005
0.005,0.000,0.885,0.000,0.000,0.000,0.000
0.005,0.010,0.055,0.285,0.010,0.000,0.000
0.040,0.005,0.035,0.450,0.010,0.020,0.000
0.000,0.000,0.835,0.000,0.000,0.000,0.000
0.000,0.000,0.835,0.005,0.000,0.000,0.000
0.015,0.005,0.035,0.240,0.000,0.000,0.000
0.035,0.005,0.040,0.425,0.005,0.015,0.000
0.030,0.035,0.030,0.475,0.005,0.005,0.010
0.000,0.000,0.720,0.000,0.000,0.000,0.000
0.000,0.000,0.735,0.000,0.000,0.000,0.000
0.005,0.085,0.045,0.495,0.010,0.030,0.000
0.000,0.020,0.050,0.435,0.000,0.015,0.000
0.010,0.010,0.035,0.265,0.000,0.000,0.000
0.010,0.020,0.035,0.445,0.005,0.015,0.000
0.005,0.000,0.815,0.005,0.005,0.000,0.000
0.015,0.000,0.945,0.000,0.000,0.000,0.025
0.000,0.000,0.850,0.000,0.000,0.000,0.005
0.000,0.060,0.010,0.480,0.000,0.025,0.000
0.000,0.000,0.915,0.000,0.005,0.000,0.000
0.010,0.020,0.040,0.465,0.005,0.010,0.000
0.005,0.025,0.055,0.475,0.000,0.025,0.000
0.000,0.000,0.920,0.000,0.000,0.000,0.000
0.060,0.070,0.815,0.065,0.115,0.090,0.110
0.005,0.025,0.060,0.450,0.000,0.025,0.000
0.000,0.045,0.020,0.445,0.005,0.035,0.005
0.010,0.010,0.040,0.255,0.005,0.000,0.000
0.000,0.000,0.795,0.000,0.000,0.000,0.000
0.035,0.000,0.965,0.000,0.000,0.005,0.025
0.000,0.000,0.780,0.000,0.005,0.000,0.000
0.080,0.090,0.100,0.400,0.130,0.100,0.100
0.000,0.000,0.830,0.000,0.000,0.000,0.000
0.010,0.020,0.035,0.460,0.005,0.010,0.000
0.000,0.060,0.030,0.465,0.005,0.030,0.000
0.005,0.025,0.020,0.410,0.000,0.025,0.000
0.005,0.020,0.050,0.460,0.000,0.025,0.000
0.000,0.000,0.795,0.000,0.000,0.000,0.000
0.000,0.000,0.830,0.000,0.000,0.000,0.000
0.015,0.015,0.025,0.645,0.035,0.035,0.000
0.000,0.000,0.875,0.000,0.000,0.000,0.000
0.000,0.000,0.715,0.000,0.000,0.000,0.000
0.000,0.000,0.840,0.000,0.000,0.000,0.000
0.025,0.110,0.040,0.560,0.000,0.025,0.000
0.000,0.000,0.905,0.010,0.000,0.000,0.000
0.000,0.000,0.925,0.000,0.000,0.000,0.000
0.000,0.000,0.870,0.000,0.000,0.000,0.000
0.000,0.000,0.770,0.005,0.000,0.000,0.000
0.000,0.000,0.770,0.000,0.000,0.000,0.000
0.035,0.000,0.065,0.330,0.000,0.000,0.000
0.000,0.000,0.675,0.000,0.000,0.000,0.000
0.025,0.000,0.030,0.350,0.015,0.000,0.000
0.030,0.090,0.025,0.505,0.000,0.030,0.000
0.000,0.000,0.875,0.000,0.000,0.000,0.000
0.100,0.020,0.055,0.445,0.035,0.010,0.000
0.000,0.000,0.680,0.000,0.000,0.000,0.000
0.000,0.000,0.875,0.005,0.000,0.000,0.005
0.000,0.000,0.785,0.000,0.000,0.000,0.000
0.050,0.075,0.880,0.065,0.120,0.100,0.100
0.025,0.005,0.065,0.270,0.010,0.000,0.000
0.115,0.090,0.075,0.450,0.120,0.095,0.100
0.000,0.000,0.875,0.000,0.000,0.000,0.000
0.030,0.040,0.025,0.475,0.005,0.005,0.010
0.005,0.020,0.020,0.365,0.000,0.020,0.005
0.000,0.075,0.025,0.465,0.005,0.030,0.000
0.005,0.025,0.020,0.435,0.000,0.030,0.005
0.030,0.035,0.035,0.465,0.005,0.005,0.010
0.000,0.000,0.900,0.000,0.000,0.000,0.000
0.000,0.000,0.900,0.005,0.000,0.000,0.000
0.030,0.040,0.030,0.470,0.010,0.005,0.015
0.000,0.000,0.855,0.000,0.000,0.000,0.000
0.000,0.000,0.990,0.000,0.000,0.000,0.000
0.000,0.000,0.790,0.000,0.000,0.000,0.000
0.010,0.010,0.050,0.280,0.010,0.000,0.000
0.000,0.000,0.835,0.000,0.000,0.000,0.000
0.025,0.015,0.035,0.490,0.015,0.005,0.000
0.005,0.050,0.045,0.530,0.010,0.015,0.005
0.030,0.040,0.020,0.480,0.005,0.005,0.010
0.000,0.040,0.010,0.500,0.000,0.005,0.000
0.005,0.070,0.025,0.450,0.010,0.035,0.000
0.000,0.050,0.020,0.445,0.005,0.035,0.000
0.000,0.000,0.905,0.000,0.000,0.000,0.000
0.010,0.075,0.055,0.515,0.010,0.040,0.005
0.030,0.035,0.030,0.445,0.005,0.010,0.010
0.040,0.000,0.875,0.000,0.000,0.000,0.020
0.000,0.000,0.975,0.000,0.000,0.000,0.000
0.000,0.000,0.885,0.000,0.000,0.000,0.000
0.005,0.005,0.015,0.260,0.000,0.000,0.000
0.000,0.000,0.845,0.005,0.000,0.000,0.000
0.005,0.010,0.035,0.260,0.000,0.000,0.005
0.000,0.060,0.015,0.465,0.005,0.030,0.000
0.070,0.095,0.115,0.275,0.135,0.100,0.105
0.015,0.005,0.030,0.280,0.000,0.000,0.000
0.020,0.000,0.030,0.320,0.005,0.000,0.000
0.005,0.015,0.055,0.460,0.000,0.020,0.000
0.000,0.000,0.985,0.000,0.000,0.000,0.000
0.055,0.065,0.690,0.070,0.130,0.085,0.105
0.000,0.000,0.865,0.000,0.000,0.000,0.005
0.000,0.005,0.775,0.000,0.000,0.000,0.000
0.000,0.000,0.735,0.000,0.000,0.000,0.000
0.005,0.010,0.040,0.250,0.005,0.000,0.000
0.000,0.050,0.025,0.430,0.005,0.035,0.005
0.020,0.000,0.030,0.335,0.005,0.000,0.000
0.000,0.000,0.905,0.005,0.000,0.000,0.000
0.005,0.005,0.040,0.600,0.000,0.025,0.000
0.000,0.000,0.860,0.000,0.000,0.000,0.005
0.000,0.000,0.755,0.000,0.000,0.005,0.000
0.095,0.100,0.100,0.355,0.140,0.105,0.110
0.000,0.000,0.825,0.000,0.000,0.000,0.000
0.000,0.000,0.805,0.005,0.000,0.000,0.000
0.000,0.035,0.010,0.495,0.000,0.000,0.000
0.005,0.010,0.025,0.310,0.005,0.010,0.000
0.035,0.000,0.050,0.410,0.005,0.010,0.000
0.000,0.000,0.835,0.000,0.000,0.000,0.005
0.030,0.000,0.855,0.005,0.000,0.000,0.015
0.000,0.090,0.040,0.490,0.010,0.030,0.000
0.020,0.010,0.020,0.450,0.000,0.005,0.000
0.020,0.035,0.030,0.405,0.000,0.020,0.000
0.005,0.020,0.020,0.375,0.000,0.020,0.005
0.000,0.000,0.810,0.000,0.000,0.000,0.000
0.000,0.000,0.910,0.005,0.000,0.000,0.000
