v1,v2,v3,v4,v5,v6,v7
0.000,0.000,0.835,0.005,0.020,0.000,0.000
0.010,0.000,0.940,0.005,0.015,0.000,0.010
0.000,0.000,0.815,0.005,0.010,0.000,0.000
0.000,0.000,0.875,0.005,0.015,0.000,0.000
0.060,0.010,0.905,0.015,0.030,0.000,0.005
0.005,0.000,0.875,0.010,0.000,0.000,0.010
0.015,0.010,0.855,0.030,0.005,0.005,0.005
0.000,0.000,0.780,0.005,0.020,0.000,0.000
0.035,0.010,0.880,0.020,0.045,0.000,0.000
0.000,0.000,0.880,0.010,0.015,0.000,0.005
0.000,0.000,0.820,0.005,0.000,0.000,0.000
0.020,0.000,0.880,0.020,0.030,0.000,0.000
0.030,0.000,0.885,0.010,0.010,0.000,0.000
0.000,0.000,0.795,0.010,0.010,0.000,0.000
0.005,0.000,0.870,0.025,0.035,0.005,0.005
0.090,0.020,0.935,0.035,0.045,0.000,0.015
0.010,0.005,0.905,0.015,0.020,0.000,0.000
0.065,0.000,0.930,0.035,0.015,0.005,0.015
0.000,0.000,0.865,0.010,0.015,0.000,0.000
0.015,0.000,0.815,0.005,0.010,0.000,0.005
0.005,0.000,0.870,0.000,0.010,0.000,0.000
0.000,0.000,0.860,0.010,0.020,0.000,0.000
0.000,0.000,0.580,0.010,0.025,0.000,0.000
0.000,0.000,0.860,0.010,0.015,0.000,0.000
0.060,0.040,0.885,0.050,0.060,0.005,0.000
0.035,0.000,0.900,0.005,0.035,0.005,0.005
0.080,0.000,0.920,0.040,0.055,0.005,0.005
0.000,0.000,0.850,0.005,0.010,0.000,0.005
0.005,0.000,0.850,0.005,0.030,0.000,0.000
0.060,0.010,0.915,0.010,0.025,0.005,0.005
0.005,0.000,0.920,0.005,0.015,0.000,0.015
0.045,0.015,0.840,0.040,0.015,0.000,0.005
0.000,0.000,0.870,0.005,0.015,0.000,0.000
0.085,0.080,0.845,0.065,0.135,0.100,0.095
0.025,0.005,0.915,0.015,0.025,0.000,0.005
0.005,0.000,0.755,0.005,0.020,0.000,0.000
0.025,0.000,0.760,0.025,0.030,0.000,0.010
0.010,0.000,0.895,0.015,0.020,0.000,0.005
0.015,0.000,0.905,0.010,0.025,0.000,0.000
0.005,0.000,0.895,0.015,0.015,0.000,0.000
0.040,0.005,0.915,0.035,0.030,0.005,0.005
0.005,0.000,0.800,0.010,0.020,0.000,0.000
0.000,0.000,0.925,0.010,0.015,0.000,0.005
0.015,0.000,0.745,0.020,0.010,0.000,0.000
0.010,0.000,0.745,0.000,0.015,0.000,0.000
0.010,0.000,0.880,0.005,0.005,0.000,0.000
0.015,0.000,0.835,0.000,0.030,0.000,0.000
0.000,0.000,0.910,0.005,0.010,0.000,0.000
0.030,0.005,0.800,0.010,0.020,0.000,0.000
0.020,0.000,0.945,0.005,0.015,0.000,0.005
0.010,0.000,0.820,0.000,0.010,0.000,0.000
0.005,0.000,0.795,0.000,0.015,0.000,0.000
0.000,0.000,0.840,0.005,0.010,0.000,0.000
0.005,0.000,0.740,0.005,0.030,0.000,0.000
0.010,0.005,0.905,0.005,0.030,0.000,0.000
0.000,0.005,0.910,0.010,0.015,0.005,0.010
0.010,0.000,0.905,0.005,0.015,0.000,0.000
0.015,0.000,0.890,0.010,0.025,0.000,0.005
0.015,0.005,0.865,0.015,0.015,0.000,0.005
0.000,0.000,0.840,0.005,0.020,0.000,0.000
0.005,0.000,0.850,0.005,0.020,0.000,0.005
0.000,0.000,0.885,0.005,0.010,0.000,0.005
0.020,0.000,0.830,0.005,0.015,0.000,0.005
0.020,0.000,0.825,0.005,0.015,0.000,0.000
0.010,0.000,0.825,0.005,0.015,0.000,0.005
0.020,0.000,0.795,0.015,0.010,0.000,0.000
0.065,0.040,0.950,0.055,0.055,0.015,0.045
0.000,0.000,0.810,0.005,0.010,0.000,0.000
0.000,0.000,0.765,0.010,0.015,0.000,0.005
0.000,0.000,0.800,0.010,0.015,0.000,0.000
0.005,0.000,0.840,0.005,0.020,0.000,0.000
0.000,0.000,0.825,0.005,0.010,0.000,0.000
0.010,0.000,0.845,0.010,0.010,0.000,0.000
0.025,0.000,0.890,0.015,0.030,0.000,0.000
0.000,0.000,0.850,0.005,0.025,0.000,0.000
0.005,0.000,0.875,0.005,0.015,0.000,0.000
0.025,0.000,0.845,0.005,0.015,0.000,0.000
0.005,0.000,0.895,0.005,0.015,0.000,0.000
0.005,0.000,0.805,0.005,0.020,0.000,0.005
0.005,0.000,0.900,0.010,0.015,0.000,0.005
0.050,0.005,0.870,0.025,0.005,0.005,0.010
0.030,0.000,0.770,0.005,0.010,0.000,0.000
0.130,0.045,0.920,0.095,0.120,0.020,0.015
0.000,0.000,0.850,0.010,0.020,0.000,0.000
0.005,0.000,0.805,0.015,0.010,0.005,0.000
0.000,0.000,0.810,0.000,0.020,0.000,0.000
0.000,0.000,0.830,0.005,0.005,0.000,0.000
0.000,0.000,0.920,0.005,0.020,0.000,0.000
0.000,0.000,0.885,0.005,0.010,0.000,0.000
0.005,0.005,0.870,0.005,0.010,0.000,0.000
0.005,0.000,0.865,0.005,0.015,0.000,0.000
0.030,0.010,0.900,0.030,0.035,0.005,0.005
0.010,0.000,0.780,0.000,0.025,0.000,0.000
0.000,0.000,0.865,0.005,0.010,0.000,0.000
0.000,0.000,0.870,0.010,0.010,0.000,0.000
0.015,0.005,0.900,0.010,0.030,0.000,0.005
0.015,0.000,0.905,0.000,0.020,0.000,0.000
0.000,0.000,0.875,0.005,0.010,0.000,0.000
0.015,0.000,0.805,0.005,0.020,0.000,0.000
0.020,0.000,0.795,0.015,0.010,0.000,0.000
0.050,0.005,0.930,0.010,0.025,0.000,0.010
0.010,0.000,0.805,0.005,0.020,0.005,0.000
0.005,0.000,0.845,0.005,0.015,0.000,0.000
0.020,0.005,0.795,0.005,0.045,0.000,0.000
0.045,0.005,0.835,0.025,0.010,0.000,0.000
0.020,0.000,0.780,0.015,0.005,0.000,0.000
0.020,0.005,0.885,0.015,0.010,0.000,0.005
0.065,0.015,0.900,0.040,0.040,0.005,0.010
0.000,0.000,0.520,0.000,0.005,0.000,0.000
0.020,0.000,0.810,0.005,0.015,0.000,0.000
0.015,0.000,0.905,0.000,0.020,0.000,0.000
0.000,0.000,0.850,0.005,0.015,0.000,0.000
0.005,0.000,0.845,0.005,0.015,0.000,0.005
0.005,0.000,0.840,0.005,0.020,0.000,0.000
0.025,0.010,0.895,0.015,0.025,0.015,0.000
0.010,0.000,0.915,0.005,0.010,0.000,0.005
0.025,0.000,0.890,0.005,0.020,0.000,0.005
0.000,0.000,0.880,0.010,0.015,0.000,0.005
0.000,0.000,0.860,0.005,0.010,0.000,0.000
0.005,0.000,0.905,0.005,0.015,0.000,0.005
0.000,0.000,0.870,0.010,0.005,0.000,0.000
0.005,0.000,0.880,0.000,0.010,0.000,0.005
0.000,0.000,0.830,0.005,0.005,0.000,0.000
0.000,0.000,0.800,0.005,0.015,0.000,0.000
0.000,0.005,0.825,0.025,0.015,0.000,0.005
0.020,0.010,0.900,0.035,0.020,0.005,0.005
0.015,0.000,0.925,0.010,0.005,0.000,0.000
0.060,0.015,0.910,0.020,0.055,0.000,0.005
0.025,0.000,0.875,0.025,0.015,0.000,0.015
0.000,0.000,0.895,0.010,0.020,0.000,0.000
0.000,0.000,0.825,0.005,0.010,0.000,0.000
0.010,0.000,0.710,0.005,0.020,0.010,0.000
0.000,0.000,0.855,0.005,0.020,0.000,0.000
0.000,0.000,0.895,0.015,0.030,0.000,0.000
0.065,0.015,0.930,0.030,0.040,0.005,0.000
0.000,0.000,0.840,0.000,0.020,0.000,0.000
0.000,0.000,0.815,0.005,0.000,0.000,0.000
